CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
303560518,9,MANHATTAN,03/14/2024,21:30:00,03/14/2025,21:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",BAR/NIGHT CLUB,03/24/2025,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,987589,205049,40.729498,-73.987952,"(40.729498, -73.987952)",POINT (-73.987952 40.729498)
303801020,9,MANHATTAN,03/12/2025,15:00:00,03/12/2025,15:10:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,348,MISDEMEANOR,(null),VEHICLE AND TRAFFIC LAWS,(null),PATROL BORO MAN SOUTH,916,LEAVING SCENE-ACCIDENT-PERSONA,STREET,03/28/2025,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,986489,205660,40.73116554,-73.99192137,"(40.73116554, -73.99192137)",POINT (-73.99192137 40.73116554)
302764458,9,MANHATTAN,03/12/2025,08:30:00,03/13/2025,10:48:00,COMPLETED,(null),609,2,N.Y. HOUSING POLICE,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - PUBLIC HOUSING,03/13/2025,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,990950,202338,40.722055,-73.975829,"(40.722055, -73.975829)",POINT (-73.975829 40.722055)
302178464,9,MANHATTAN,01/15/2025,17:13:00,03/06/2025,17:37:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,117,FELONY,FRONT OF,DANGEROUS DRUGS,(null),PATROL BORO MAN SOUTH,515,"CONTROLLED SUBSTANCE,SALE 3",STREET,03/06/2025,(null),18-24,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,990664,204848,40.728945,-73.976856,"(40.728945, -73.976856)",POINT (-73.976856 40.728945)
303572837,9,MANHATTAN,03/25/2025,04:50:00,03/25/2025,04:55:00,COMPLETED,RIIS II,73257,2,N.Y. HOUSING POLICE,237,MISDEMEANOR,INSIDE,ESCAPE 3,(null),PATROL BORO MAN SOUTH,742,ESCAPE 3,RESIDENCE - PUBLIC HOUSING,03/25/2025,(null),25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,990831,202826,40.723393,-73.976257,"(40.723393, -73.976257)",POINT (-73.976257 40.723393)
302178465,9,MANHATTAN,03/06/2025,17:10:00,03/06/2025,17:17:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,675,VIOLATION,(null),ADMINISTRATIVE CODE,(null),PATROL BORO MAN SOUTH,890,N.Y.C. TRANSIT AUTH. R&R,TRANSIT - NYC SUBWAY,03/06/2025,2 AVENUE,45-64,BLACK HISPANIC,M,4,UNKNOWN,UNKNOWN,E,986738,202922,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",POINT (-73.99102396312567 40.72365033469323)
303893842,9,MANHATTAN,03/31/2025,01:25:00,03/31/2025,01:40:00,ATTEMPTED,(null),,0,N.Y. POLICE DEPT,110,FELONY,FRONT OF,GRAND LARCENY OF MOTOR VEHICLE,(null),PATROL BORO MAN SOUTH,441,"LARCENY,GRAND OF AUTO",STREET,03/31/2025,(null),45-64,WHITE,M,,65+,WHITE,M,987125,202964,40.723775,-73.989626,"(40.723775, -73.989626)",POINT (-73.989626 40.723775)
299554441,9,MANHATTAN,01/15/2025,15:35:00,01/15/2025,15:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,233,MISDEMEANOR,(null),SEX CRIMES,(null),PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",STREET,01/15/2025,(null),25-44,BLACK HISPANIC,M,,25-44,WHITE,F,987496,203963,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",POINT (-73.9882902437563 40.7265156408036)
300444144,9,MANHATTAN,02/03/2025,00:15:00,02/03/2025,00:30:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,236,MISDEMEANOR,(null),DANGEROUS WEAPONS,(null),PATROL BORO MAN SOUTH,782,"WEAPONS, POSSESSION, ETC",TRANSIT - NYC SUBWAY,02/03/2025,14 STREET,25-44,WHITE,M,4,UNKNOWN,UNKNOWN,E,987048,206851,40.73443438732101,-73.98990393253564,"(40.73443438732101, -73.98990393253564)",POINT (-73.98990393253564 40.73443438732101)
299289540,9,MANHATTAN,01/12/2025,02:54:00,01/12/2025,02:59:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,675,VIOLATION,(null),ADMINISTRATIVE CODE,(null),PATROL BORO MAN SOUTH,890,N.Y.C. TRANSIT AUTH. R&R,TRANSIT - NYC SUBWAY,01/12/2025,2 AVENUE,25-44,WHITE HISPANIC,M,4,UNKNOWN,UNKNOWN,E,986738,202922,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",POINT (-73.99102396312567 40.72365033469323)
